districtCode,constituencyName,prefixRaw,prefix,firstName,lastName,email,ministryEmail,partyName,partyAbbreviationRaw,partyAbbreviation,roles,electionYears,isHonourable,honourableTitle,isDoctor,doctorTitle,isCounsel,counselTitle,profileUrl,imagePath,imageDescription,legOfficeRoom,legOfficePhoneRaw,legOfficePhone,legOfficeFaxRaw,legOfficeFax,legBuildingAddress,legBuildingCity,legBuildingPostalCode,conOfficeAddressRaw,conOfficeSuite,conOfficeStreet,conOfficePOBox,conOfficeCity,conOfficePostalCode,conOfficePhoneRaw,conOfficePhone,conOfficeFaxRaw,conOfficeFax,conOfficeTollFreeRaw,conOfficeTollFree,conOfficeEmail
NOH,North Coast-Haida Gwaii,Ms.,Ms.,Laanas - Tamara,Davidson,Tamara.Davidson.MLA@leg.bc.ca,ENV.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Environment and Parks,2024,True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Davidson-Laanas%20-%20Tamara,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Davidson-Tamara.jpg,MLA Tamara Davidson,Environment and Parks,2503871187,(250) 387-1187,,,Parliament Buildings,Victoria,V8V 1X4,#290 - 309 2nd Ave West,290,309 2nd Ave West,,Prince Rupert,V8J 3T1,2506247734,(250) 624-7734,,,,,Tamara.Davidson.MLA@leg.bc.ca
NOI,North Island,Ms.,Ms.,Anna,Kindy,Anna.Kindy.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Kindy-Anna,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Anna Kindy Conservative Party _KRL_20241210__AVE7843 copy.jpg,MLA Anna Kindy,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,908 Island Highway,,908 Island Highway,,Campbell River,V9W 2C3,778-902-8544,(778) 902-8544,,,,,
NVL,North Vancouver-Lonsdale,Ms.,Ms.,Bowinn,Ma,Bowinn.Ma.MLA@leg.bc.ca,INF.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Infrastructure,"2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Ma-Bowinn,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Ma-Bowinn.jpg,MLA Bowinn Ma,Infrastructure,2507043020,(250) 704-3020,,,Parliament Buildings,Victoria,V8V 1X4,#50 - 221 West Esplanade,50,221 West Esplanade,,North Vancouver,V7M 3J3,604-981-0033,(604) 981-0033,604-981-0044,(604) 981-0044,,,
NVS,North Vancouver-Seymour,Ms.,Ms.,Susie,Chant,Susie.Chant.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,"2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Chant-Susie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chant-Susie.jpg,MLA Susie Chant,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,#217 - 1233 Lynn Valley Road,217,1233 Lynn Valley Road,,North Vancouver,V7J 0A1,6049839859,(604) 983-9859,,,,,Susie.Chant.MLA@leg.bc.ca
OBG,Oak Bay-Gordon Head,Ms.,Ms.,Diana,Gibson,Diana.Gibson.MLA@leg.bc.ca,CITZ.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Citizens' Services,2024,True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Gibson-Diana,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Gibson-Diana.jpg,MLA Diana Gibson,"Jobs, Economic Development and Innovation",2503562771,(250) 356-2771,,,Parliament Buildings,Victoria,V8V 1X4,2290 Cadboro Bay Road,,2290 Cadboro Bay Road,,Victoria,V8R 5G9,250 472 8528,(250) 472-8528,,,,,
PCN,Peace River North,Mr.,Mr.,Jordan,Kealy,Jordan.Kealy.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Kealy-Jordan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Kealy-Jordan.jpg,MLA Jordan Kealy,Independent Offices,,,,,Parliament Buildings,Victoria,V8V 1X4,10104 - 100th St,,10104 - 100th St,,Fort St. John,V1J 3Y7,2502630101,(250) 263-0101,,,,,
PCS,Peace River South,Mr.,Mr.,Larry,Neufeld,Larry.Neufeld.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Neufeld-Larry,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Neufeld-Larry.jpeg,MLA Larry Neufeld,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#103B - 1100 Alaska Ave.,103B,1100 Alaska Ave,,Dawson Creek,V1G 4V8,7788437022,(778) 843-7022,,,,,
PES,Penticton-Summerland,Ms.,Ms.,Amelia,Boultbee,Amelia.Boultbee.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Boultbee-Amelia,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Boultbee-Amelia.jpg,MLA Amelia Boultbee,Room 021,,,,,Parliament Buildings,Victoria,V8V 1X4,#210 – 300 Riverside Drive,210,300 Riverside Drive,,Penticton,V2A 9C9,250-487-4400,(250) 487-4400,,,8664874402,1-866-487-4402,
POC,Port Coquitlam,Mr.,Mr.,Mike,Farnworth,Mike.Farnworth.MLA@leg.bc.ca,TT.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Transportation and Transit,"1991, 1996, 2005, 2009, 2013, 2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Farnworth-Mike,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Farnworth-Mike.jpg,MLA mike Farnworth,Transportation and Transit,2503871978,(250) 387-1978,,,Parliament Buildings,Victoria,V8V 1X4,#107A - 2748 Lougheed Highway,107A,2748 Lougheed Highway,,Port Coquitlam,V3B 6P2,6049272088,(604) 927-2088,6049272090,(604) 927-2090,,,Mike.Farnworth.MLA@leg.bc.ca
POM,Port Moody-Burquitlam,Mr.,Mr.,Rick,Glumac,Rick.Glumac.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,Minister of State for Artificial Intelligence and New Technologies,"2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Glumac-Rick,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Glumac-Rick.jpg,MLA Rick Glumac,Minister of State for Trade,2503879139,(250) 387-9139,,,Parliament Buildings,Victoria,V8V 1X4,2708 St. Johns Street,,2708 St Johns Street,,Port Moody,V3H 2B7,6049368709,(604) 936-8709,6044695435,(604) 469-5435,,,Rick.Glumac.MLA@leg.bc.ca
POR,Powell River-Sunshine Coast,Ms.,Ms.,Randene,Neill,Randene.Neill.MLA@leg.bc.ca,WLRS.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,"Minister of Water, Land and Resource Stewardship",2024,True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Neill-Randene,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Neill-Randene.jpg,MLA Randene Neill,"Water, Land and Resource Stewardship",7784053094,(778) 405-3094,,,Parliament Buildings,Victoria,V8V 1X4,#109 - 4675 Marine Ave.,109,4675 Marine Ave,,Powell River,V8A 2L2,6044851249,(604) 485-1249,,,,,Randene.Neill.MLA@leg.bc.ca
PRM,Prince George-Mackenzie,Mr.,Mr.,Kiel,Giddens,Kiel.Giddens.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Giddens-Kiel,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Giddens-Kiel.jpeg,MLA Kiel Giddens,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#124 - 403 Mackenzie Blvd,124,403 Mackenzie Blvd,,Mackenzie,V0J 2C0,2509975281,(250) 997-5281,,,8666124194,1-866-612-4194,
PRO,Prince George-North Cariboo,Mr.,Mr.,Sheldon,Clare,Sheldon.Clare.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Clare-Sheldon,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Clare-Sheldon.jpg,MLA Sheldon Clare,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#401-410 Kinchant Street,401,410 Kinchant Street,,Quesnel,V2J 7J5,250-991-0296,(250) 991-0296,250-992-5629,(250) 992-5629,,,
PRV,Prince George-Valemount,Ms.,Ms.,Rosalyn,Bird,Rosalyn.Bird.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Bird-Rosalyn,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Rosalyn Bird Conservative Party _KRL_20241210__AVE7919 copy 2.jpg,MLA Rosalyn Bird,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,1350 5th Avenue,,1350 5th Avenue,,Prince George,V2L 3L4,,,,,,,
RCB,Richmond-Bridgeport,Ms.,Ms.,Teresa,Wat,Teresa.Wat.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2013, 2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Wat-Teresa,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Wat-Teresa.jpg,MLA Teresa Wat,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#300 - 8120 Granville Avenue,300,8120 Granville Avenue,,Richmond,V6Y 1P3,604-775-0754,(604) 775-0754,604-775-0898,(604) 775-0898,,,
RCC,Richmond Centre,Mr.,Mr.,Hon,Chan,Hon.Chan.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Chan-Hon,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chan-Hon.jpg,MLA Hon Chan,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Unit 147 & 149 - 6386 No. 3 Road,147 & 149,6386 No 3 Road,,Richmond,V6Y 0L8,,,,,,,hon.chan.mla@leg.bc.ca
RCQ,Richmond-Queensborough,Mr.,Mr.,Steve,Kooner,Steve.Kooner.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Kooner-Steve,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/MLA Kooner.jpg,MLA Steve Kooner,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#130 - 12560 Bridgeport Rd,130,12560 Bridgeport Rd,,Richmond,V6V 2N5,6046640700,(604) 664-0700,,,,,
RCS,Richmond-Steveston,Ms.,Ms.,Kelly,Greene,Kelly.Greene.MLA@leg.bc.ca,EMCR.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Emergency Management and Climate Readiness,"2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Greene-Kelly,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Greene-Kelly.jpg,MLA Kelly Greene,Emergency Management and Climate Readiness,2364783938,(236) 478-3938,,,Parliament Buildings,Victoria,V8V 1X4,#115 - 4011 Bayview Street,115,4011 Bayview Street,,Richmond,V7E 6T5,6042418452,(604) 241-8452,,,,,Kelly.Greene.MLA@leg.bc.ca
SAN,Saanich North and the Islands,Mr.,Mr.,Rob,Botterell,Rob.Botterell.MLA@leg.bc.ca,,British Columbia Green Party,BC Green Party,Green,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Botterell-Rob,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Botterell-Rob.jpg,MLA Rob Botterell,BC Green MLA Offices,2503878347,(250) 387-8347,,,Parliament Buildings,Victoria,V8V 1X4,9828 Fourth Street,,9828 Fourth Street,,Sidney,V8L 2Z3,2506555600,(250) 655-5600,2506557398,(250) 655-7398,,,
SAS,Saanich South,Ms.,Ms.,Lana,Popham,Lana.Popham.MLA@leg.bc.ca,AF.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Agriculture and Food,"2009, 2013, 2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Popham-Lana,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Popham-Lana.jpg,MLA Lana Popham,Agriculture and Food,2503871023,(250) 387-1023,,,Parliament Buildings,Victoria,V8V 1X4,#260 - 4243 Glanford Ave,260,4243 Glanford Ave,,Victoria,V8Z 4B9,2504794154,(250) 479-4154,2504794176,(250) 479-4176,,,Lana.Popham.MLA@leg.bc.ca
SHU,Salmon Arm-Shuswap,Mr.,Mr.,David,Williams,David.Williams.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Williams-David,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Williams-David.jpg,MLA David L. Williams,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,2-1120 10th Avenue SW,2,1120 10th Avenue SW,,Salmon Arm,V1E 1T3,778-724-2407,(778) 724-2407,,,877-745-2240,1-877-745-2240,
SKE,Skeena,Ms.,Ms.,Claire,Rattée,Claire.Rattee.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Ratt%C3%A9e-Claire,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Claire Ratee Cropped.jpg,MLA Claire Rattée,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#104 - 4710 Lazelle Ave,104,4710 Lazelle Ave,,Terrace,V8G 1T2,778-401-5694,(778) 401-5694,,,,,
SRC,Surrey City Centre,Ms.,Ms.,Amna,Shah,Amna.Shah.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Shah-Amna,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Shah-Amna.jpg,MLA Amna Shaw,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,10574 King George Boulevard,,10574 King George Boulevard,,Surrey,V3T 2X3,604-586-2740,(604) 586-2740,,,,,Amna.Shah.MLA@leg.bc.ca
SRD,Surrey-Cloverdale,Ms.,Ms.,Elenore,Sturko,Elenore.Sturko.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2022, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Sturko-Elenore,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sturko-Elenore.jpg,MLA Elenore Sturko,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#104 - 17610 65A Ave,104,17610 65A Ave,,Surrey,V3S 5N4,7785715503,(778) 571-5503,,,,,
SRF,Surrey-Fleetwood,Mr.,Mr.,Jagrup,Brar,Jagrup.Brar.MLA@leg.bc.ca,MCM.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Mining and Critical Minerals,"2004, 2005, 2009, 2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Brar-Jagrup,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Brar-Jagrup.jpg,MLA Jagrup Brar,Mining and Critical Minerals,2509530900,(250) 953-0900,,,Parliament Buildings,Victoria,V8V 1X4,#301A - 15930 Fraser Hwy.,301A,15930 Fraser Hwy,,Surrey,V4N 0X8,6045013227,(604) 501-3227,,,,,Jagrup.Brar.MLA@leg.bc.ca
SRG,Surrey-Guildford,Mr.,Mr.,Garry,Begg,Garry.Begg.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,"2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Begg-Garry,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Begg-Garry.jpg,MLA Garry Begg,BC NDP MLA Offices,2503873655,(250) 387-3655,2503564680,(250) 356-4680,Parliament Buildings,Victoria,V8V 1X4,#201 - 15135 101 Ave,201,15135 101 Ave,,Surrey,V3R 7Z1,6045863747,(604) 586-3747,6045844741,(604) 584-4741,,,
SRN,Surrey-Newton,Ms.,Ms.,Jessie,Sunner,Jessie.Sunner.MLA@leg.bc.ca,PSFS.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Post-Secondary Education and Future Skills,2024,True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Sunner-Jessie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sunner-Jessie.jpg,MLA Jessie Sunner,Room 247,2503872283,(250) 387-2283,2503874312,(250) 387-4312,Parliament Buildings,Victoria,V8V 1X4,105 & 106 - 7327 137th Street,,105 & 106 - 7327 137th Street,,Surrey,V3W 1A4,6045978248,(604) 597-8248,,,,,Jessie.Sunner.MLA@leg.bc.ca
SUN,Surrey North,Mr.,Mr.,Mandeep,Dhaliwal,Mandeep.Dhaliwal.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Dhaliwal-Mandeep,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dhaliwal-Mandeep.jpg,MLA Mandeep Dhaliwal,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,"Unit 205 & 206, 9093 King George Boulevard",205 & 206,9093 King George Boulevard,,Surrey,V3V 5V7 ,778-256-1000,(778) 256-1000,,,,,Mandeep.Dhaliwal.MLA@leg.bc.ca
SUP,Surrey-Panorama,Mr.,Mr.,Bryan,Tepper,Bryan.Tepper.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Tepper-Bryan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Bryan Portrait 1 (2).jpg,MLA Bryan Tepper,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#203 & 204 14360 - 64 Avenue,203 & 204,14360 64 Avenue,,Surrey,V3W 1Z1,,,,,,,
SUR,Surrey-Serpentine River,Ms.,Ms.,Linda,Hepner,Linda.Hepner.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Hepner-Linda,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Hepner-Linda.jpg,MLA Linda Hepner,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Unit 7 - 14455 64 Avenue,7,14455 64 Avenue,,Surrey,V3S 0C6,604-597-8842,(604) 597-8842,,,,,
SUS,Surrey South,Mr.,Mr.,Brent,Chapman,Brent.Chapman.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Chapman-Brent,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chapman-Brent.jpg,MLA Brent Chapman,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,205/206 - 15850 - 24th Avenue,205/206,15850 24th Avenue,,Surrey,V3Z 0G1,604-541-4556,(604) 541-4556,,,,,
SWR,Surrey-White Rock,Mr.,Mr.,Trevor,Halford,trevor.halford.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Halford-Trevor,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Halford-Trevor.jpg,MLA Trevor Halford,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#101-1493 Johnston Road,101,1493 Johnston Road,,White Rock,V4B 3Z4,6045423930,(604) 542-3930,,,,,
VFV,Vancouver-Fraserview,Mr.,Mr.,George,Chow,George.Chow.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,"2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Chow-George,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chow-George.jpg,MLA George Chow,BC NDP MLA Offices,2503873655,(250) 387-3655,2503564680,(250) 356-4680,Parliament Buildings,Victoria,V8V 1X4,#112 - 2609 East 49th Ave,112,2609 East 49th Ave,,Vancouver,V5S 1J9,6046602035,(604) 660-2035,6046602368,(604) 660-2368,,,
VHA,Vancouver-Hastings,Ms.,Ms.,Niki,Sharma,Niki.Sharma.MLA@leg.bc.ca,AG.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Attorney General | Deputy Premier,"2020, 2024",True,Hon.,False,,True,K.C.,https://www.leg.bc.ca/members/43rd-Parliament/Sharma-Niki,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sharma-Niki.jpg,MLA Niki Sharma,Attorney General & Deputy Premier,2503871866,(250) 387-1866,,,Parliament Buildings,Victoria,V8V 1X4,3 & 4-2133 & 2135 East Hastings Street,,3 & 4-2133 & 2135 East Hastings Street,,Vancouver,V5L 1V2,6047752277,(604) 775-2277,,,,,Niki.Sharma.MLA@leg.bc.ca
VKE,Vancouver-Kensington,Ms.,Ms.,Mable,Elmore,Mable.Elmore.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,"2009, 2013, 2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Elmore-Mable,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Elmore-Mable.jpg,MLA Mable Elmore,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,6106 Fraser Street,,6106 Fraser Street,,Vancouver,V5W 3A1,6047751033,(604) 775-1033,6047751330,(604) 775-1330,,,Mable.Elmore.MLA@leg.bc.ca
VLA,Vancouver-Langara,Ms.,Ms.,Sunita,Dhir,Sunita.Dhir.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Dhir-Sunita,"https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dhir, Sunita.JPG",MLA Sunita Dhir,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,6615 Main Street,,6615 Main Street,,Vancouver,V5X 3H3,6046608380,(604) 660-8380,,,,,Sunita.Dhir.MLA@leg.bc.ca
VLM,Vancouver-Little Mountain,Ms.,Ms.,Christine,Boyle,Christine.Boyle.MLA@leg.bc.ca,HMA.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Housing and Municipal Affairs,2024,True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Boyle-Christine,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Boyle-Christine.jpg,MLA Christine Boyle,Indigenous Relations and Reconciliation,2509534844,(250) 953-4844,,,Parliament Buildings,Victoria,V8V 1X4,Unit 100 - 75 W. Broadway,100,75 W Broadway,,Vancouver,V5Y 1P1,604 660 0551,(604) 660-0551,,,,,
VNP,Vancouver-Point Grey,Hon.,Mr.,David,Eby,David.Eby.MLA@leg.bc.ca,Premier@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Premier and President of the Executive Council,"2013, 2017, 2020, 2024",True,Hon.,False,,True,K.C.,https://www.leg.bc.ca/members/43rd-Parliament/Eby-David,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Eby-David.jpg,MLA David Eby,Premier's Office,2503871715,(250) 387-1715,2503870087,(250) 387-0087,Parliament Buildings,Victoria,V8V 1X4,2909 West Broadway,,2909 West Broadway,,Vancouver,V6K 2G6,604-660-1297,(604) 660-1297,604-660-0862,(604) 660-0862,,,David.Eby.MLA@leg.bc.ca
VNQ,Vancouver-Quilchena,Ms.,Ms.,Dallas,Brodie,Dallas.Brodie.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Brodie-Dallas,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Brodie-Dallas.png,MLA Dallas Brodie,Independent Offices,,,,,Parliament Buildings,Victoria,V8V 1X4,204-5701 Granville Street,204,5701 Granville Street,,Vancouver,V6M 4J7,16046640748,(604) 664-0748,,,,,
VNR,Vancouver-Renfrew,Mr.,Mr.,Adrian,Dix,Adrian.Dix.MLA@leg.bc.ca,ECS.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Energy and Climate Solutions,"2005, 2009, 2013, 2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Dix-Adrian,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dix-Adrian.jpg,MLA Adrian Dix,Energy and Climate Solutions,7786987671,(778) 698-7671,,,Parliament Buildings,Victoria,V8V 1X4,5022 Joyce Street,,5022 Joyce Street,,Vancouver,V5R 4G6,604-660-0314,(604) 660-0314,,,,,
VNS,Vancouver-South Granville,Ms.,Ms.,Brenda,Bailey,Brenda.Bailey.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,Minister of Jobs and Economic Growth,"2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Bailey-Brenda,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Bailey-Brenda.jpg,MLA Brenda Bailey,Finance,2503873751,(250) 387-3751,,,Parliament Buildings,Victoria,V8V 1X4,104-1245 West Broadway,104,1245 West Broadway,,Vancouver,V6H 1G7,604-775-2601,(604) 775-2601,,,,,
VNW,Vancouver-West End,Mr.,Mr.,Spencer,Chandra Herbert,s.chandraherbert.mla@leg.bc.ca,IRR.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Indigenous Relations and Reconciliation,"2008, 2009, 2013, 2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Chandra%20Herbert-Spencer,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chandra-Herbert-Spencer.jpg,MLA Spencer Chandra Herbert,"Tourism, Arts, Culture and Sport",2509530905,(250) 953-0905,,,Parliament Buildings,Victoria,V8V 1X4,923 Denman St,,923 Denman St,,Vancouver,V6G 2L9,6046607307,(604) 660-7307,6046607300,(604) 660-7300,,,s.chandraherbert.mla@leg.bc.ca
